NAME                                                                              USED  AVAIL  REFER  MOUNTPOINT
StoragePool/MonitorScripts@autosnap_2017-07-29_15:12:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_15:13:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_15:14:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_20:08:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_20:09:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_20:10:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_00:00:01_daily                      64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_00:00:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_00:01:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_00:01:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_00:02:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_00:02:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_00:08:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_00:08:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_00:11:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_00:11:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_00:14:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_00:14:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_00:15:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_00:15:01_daily                      64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_05:03:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_05:04:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_05:07:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_05:08:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_05:09:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_10:04:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_10:06:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_10:07:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_10:08:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_10:14:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_15:00:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_15:02:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_15:03:02_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_15:06:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_15:07:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_15:08:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_15:10:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_15:11:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_15:14:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_20:06:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_20:10:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-30_20:12:01_hourly                     64K      -   160K  -
